SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
1,Abdomen,"The abdomen is the part of the body between the chest and pelvis. The abdomen contains such organs as the stomach, liver, spleen, pancreas, intestines and other structures.",ከብዲ,ከብዲ ማለት ኣብ መንጎ ደረትን ጭርንጭራን ዝርከብ ናይ ሰውብነትና ክፍሊ እዩ,,,,
2,Abortion,"Abortion is the termination or ending of a pregnancy before fetal viability, which is conventionally taken to be less than 28 weeks from the last normal menstrual period.",ምንፃል ጥንሲ,ትሕቲ 28 ሰሙን ዕድመ ዘለዎ ጥንሲ ምንፃል,,,,
3,Abscess,An abscess is a collection of pus and inflamed tissue at the site of bacterial infection.,ሕብጠት,ብሰንኪ ረኽሲ ባክተርያ ዝፍጠር ማይን ሙግሊ ዝሓዘ ሕበጥ,,,,
4,ACT,Artemisinin Combination Therapy only given to patients with falciparum malaria. ,ኮኣርተም,ብሰንኪ ፕላዝሞደዪም ፋልሲ ፋረም ንዝመፅእ ሕማም ዓሶ ንምሕካም ዝጠቅም መድሓኒት,,,,
5,Acute,A condition is described as acute if it begins suddenly and gets worse over a short period of time. An acute emergency is one that rapidly becomes life-threatening and that requires immediate attention after the onset of symptoms.,ቕፅበታዊ,ብሃንደበት ዝለዓልን ብሓፂር እዋን ዝበኣኣስ ቕፅበታዊ ሕማም,,,,
6,Addiction,"The condition of being abnormally dependent on some habit, especially a compulsive dependency on psychoactive substances.When a person becomes unable to function normally without using these substances, they are described as being addicted or dependent on the substance. ",ወልፊ,ንዝተፈላለዩ መድሓኒታትን ዕፅዋትን ሱስ ተፀሚዱ ዕለታዊ ስራሕቱ ብኣግባቡ ዘይሰርሕ ውልቀ ሰብ ዉልፍ ይበሃል,,,,
7,ADHD,"Attention Deficit Hyperactivity Disorder.Children with ADHD are restless and experience difficulties concentrating on tasks at hand. They often have problems sitting through class. They also tend to do things impulsively, without thinking much about the possible consequences of their actions.",ኤዲኤችዲ,ሕማም ኣእምሮ ኮይኑ ብትኹረት ምስኣንን ዘይምርግጋእን ይግለፅ፡፡,,,,
8,Adherence,"Adherence to treatment, that is taking all the doses that are given, is very important for successful treatment outcome. ",ግቡእ ክትትል,ብሰብ ሞያ ጥዕና ዝተኣዘዘ መድሓኒት ብግቡእ ተኸታቲልካ ምውሳድ ፅቡቕ ዉፅኢት ይህብ,,,,
9,Adolescence,"A period of rapid physical growth (10-19 years age group). Adolescence increases requirements of energy, protein, calcium, phosphorus and zinc. ",ኣባፅሕ ,ኣባፅሕ ካብ 10 ስጋብ 19 ዓመት ዝዕድመኦም,,,,
10,Adolescent,The World Health Organization (WHO) defines an adolescent as an individual in the 10-19 years age group and usually uses the term young person to denote those between 10 and 24 years. ,ኣባፅሕ,ከም ውድብ ጥዕና ዓለም ካብ 10-19 ዓመት ዕድመ ዘለዎም ሰባት ኣባፅሕ እንትብሃሉ ብኣብዝሓ ግዘ ካብ 10-24 ዓመት ዕድመ ዘለዉ ድማ መናእሰይ ይበሃሉ,,,,
